LOC,LAT,LON
SW1,38.801244,-77.054393
SW3,38.820653,-77.07932
SW7,38.862372,-77.13272600
SW9,38.882943,-77.15909000
NW1,38.903562,-77.159144
NW3,38.924633,-77.13223600
NW7,38.965182,-77.080403
NW9,38.985699,-77.054129
NE1,38.98562,-77.027743
NE3,38.965273,-77.00169099
NE7,38.923788,-76.948649
NE9,38.903169,-76.92232
SE1,38.88264,-76.922293
SE3,38.862161,-76.948571
SE7,38.821197,-77.001096
SE9,38.803728,-77.02356899
SW2,38.807592,-77.06263800
SW4,38.831543,-77.093187
SW6,38.851832,-77.119264
SW8,38.872671,-77.145945
NW2,38.913881,-77.14598700
NW4,38.937606,-77.115672
NW6,38.954909,-77.093548
NW8,38.975442,-77.067267
NE2,38.975351,-77.014594
NE4,38.954733,-76.988207
NE6,38.933715,-76.96133
NE8,38.913483,-76.935483
SE2,38.87241,-76.935424
SE4,38.851756,-76.96189099
SE8,38.81092,-77.01425
SE6,38.831437,-76.987973
S,38.790339,-77.040586
SW5,38.842081,-77.10674
W,38.893245,-77.172301
NW5,38.944639,-77.10668200
N,38.995957,-77.040986
NE5,38.944414,-76.975009
E,38.89286,-76.909166
SE5,38.841683,-76.974839
