reason_set,color
"['Az multiple:15.00', 'Az multiple:18.00']",FFFF33FF
['Az multiple:15.00'],FFFF33FF
"['Az multiple:18.00', 'Az target:198.00']",FF99FFFF
['Az multiple:18.00'],FF99FFFF
['Az target:116.57'],FF5599FF
['Az target:26.57'],FF5599FF
['Az target:128.17'],FF55FFFF
['Az target:50.77'],FF0055FF
['Az target:140.77'],FF0055FF
['Az target:153.44'],FF0099FF
['Az target:63.44'],FF0099FF
['Az target:39.23'],FF9999FF
['Az target:1.00'],FF99FFFF
['Az target:269.00'],FF9955FF
['Az target:134.00'],FF9955FF
['Az target:44.00'],FF9955FF
['Az target:121.00'],FFFF00FF
['Az target:59.00'],FFFF00FF
['Az target:61.00'],FFFF00FF
['Az target:31.00'],FFFF00FF
['Az target:73.00'],FF0000FF
['Az target:74.00'],FF0000FF
['Az target:10.00'],FFFF99FF
['Az target:172.00'],FF5500FF
['Az target:82.00'],FF9900FF
['Az target:34.25'],FF00FFFF
['Az target:42.50'],FF00FFFF
['Az target:132.50'],FF00FFFF
