reason_set,color
"['Az multiple:15.00', 'Az multiple:18.00']",color000
['Az multiple:15.00'],color001
"['Az multiple:18.00', 'Az target:198.00']",color002
['Az multiple:18.00'],color003
['Az target:1.00'],color004
['Az target:10.00'],color005
['Az target:107.00'],color006
['Az target:109.50'],color007
['Az target:116.57'],color008
['Az target:121.00'],color009
['Az target:125.25'],color010
['Az target:126.87'],color011
['Az target:129.23'],color012
['Az target:132.50'],color013
['Az target:134.00'],color014
['Az target:136.00'],color015
['Az target:140.77'],color016
['Az target:141.83'],color017
['Az target:153.43'],color018
['Az target:172.00'],color019
"['Az target:179.00', 'Az target:359.00']",color020
['Az target:25.50'],color021
['Az target:26.57'],color022
['Az target:269.00'],color023
['Az target:31.00'],color024
['Az target:34.25'],color025
['Az target:38.17'],color026
['Az target:39.23'],color027
['Az target:42.50'],color028
['Az target:44.00'],color029
['Az target:50.77'],color030
['Az target:51.83'],color031
['Az target:54.75'],color032
['Az target:59.00'],color033
['Az target:61.00'],color034
['Az target:64.50'],color035
['Az target:73.00'],color036
['Az target:74.00'],color037
['Az target:82.00'],color038
['Az target:89.00'],color039
['Az target:91.00'],color040
