STEP,LAT,LON
E0, 38.889801000, -77.009227000
E1, 38.889793287, -76.966784473
E2, 38.904293664, -76.985326659
E3, 38.891625173, -76.985330904
E4, 38.897159541, -76.978244757
E5, 38.897161019, -76.984436315
E6, 38.895046071, -76.981731469
E7, 38.896893973, -76.981730756
E8, 38.896086693, -76.982764409
E9, 38.896086485, -76.981861285
E10, 38.896394987, -76.982255827
E11, 38.896125441, -76.982255929
E12, 38.896243196, -76.982105154
E13, 38.896243226, -76.982236890
E14, 38.896198226, -76.982179339
E15, 38.896237544, -76.982179325
E16, 38.896220368, -76.982201317
S1, 38.856630669, -77.009227000
S2, 38.871124390, -76.990684809
S3, 38.871125838, -77.006890387
S4, 38.865589424, -76.999809409
S5, 38.870427850, -76.999808771
S6, 38.868313684, -77.002513618
S7, 38.868313524, -77.000149869
S8, 38.869121122, -77.001182717
S9, 38.868415361, -77.001182797
S10, 38.868723745, -77.000788255
S11, 38.868723769, -77.001133048
S12, 38.868605969, -77.000982390
S13, 38.868708915, -77.000982378
S14, 38.868663933, -77.001039928
S15, 38.868663929, -77.000989635
S16, 38.868681112, -77.001011611
W1, 38.889793287, -77.051669527
W2, 38.875303410, -77.033117628
W3, 38.887971937, -77.033121872
W4, 38.882434231, -77.040202847
W5, 38.882435709, -77.034012567
W6, 38.884549451, -77.036718485
W7, 38.882701545, -77.036717773
W8, 38.883509304, -77.035684925
W9, 38.883509096, -77.036587889
W10, 38.883200777, -77.036193184
W11, 38.883470323, -77.036193286
W12, 38.883352499, -77.036343944
W13, 38.883352529, -77.036212233
W14, 38.883397503, -77.036269807
W15, 38.883358185, -77.036269792
W16, 38.883375372, -77.036247816
N1, 38.922971142, -77.009227000
N2, 38.908474604, -77.027778904
N3, 38.908476055, -77.011564837
N4, 38.914011715, -77.018650987
N5, 38.909173325, -77.018650347
N6, 38.911287851, -77.015944428
N7, 38.911287690, -77.018309602
N8, 38.910480250, -77.017275949
N9, 38.911186006, -77.017276029
N10, 38.910877569, -77.017670734
N11, 38.910877593, -77.017325737
N12, 38.910995372, -77.017476512
N13, 38.910892426, -77.017476500
N14, 38.910937416, -77.017418926
N15, 38.910937413, -77.017469249
N16, 38.910920233, -77.017447256
