reason_set,color,group
['Dist factor of:1.3143'],color000,group_000
"['Dist factor of:1.4142', 'Dist multiple:1.4142']",color001,group_001
['Dist factor of:1.4142'],color002,group_002
['Dist factor of:1.5388'],color003,group_003
"['Dist factor of:1.6180', 'Dist multiple:1.6180']",color004,group_004
['Dist factor of:1.7321'],color005,group_005
"['Dist factor of:2.2361', 'Dist multiple:2.2361']",color006,group_006
['Dist factor of:3.0000'],color007,group_007
['Dist factor of:4.0000'],color008,group_008
"['Dist factor of:5.0000', 'Dist multiple:5.0000']",color009,group_009
['Dist factor of:5.0000'],color010,group_010
['Dist multiple:0.4755'],color011,group_011
['Dist multiple:0.6180'],color012,group_012
['Dist multiple:1.3143'],color013,group_013
['Dist multiple:1.4142'],color014,group_014
['Dist multiple:1.5388'],color015,group_015
['Dist multiple:1.6180'],color016,group_016
['Dist multiple:1.7321'],color017,group_017
['Dist multiple:2.2361'],color018,group_018
['Dist multiple:4.0000'],color019,group_019
