P1,P1_lat,P1_lon,P2,P2_lat,P2_lon,Dist,Az12,Az21,BackAz12,BackAz21,Reason
K,38.892755,-77.051435,Hk,38.8951366,-77.051444,0.1642848297322346,359.8307964157596,179.83079076483222,359.8307907648322,179.83079641575955,Dist factor of:1.3143
K,38.892755,-77.051435,elEc,38.89278681802996,-77.04033404260801,0.5984377899219823,89.78637707618346,269.7933469772621,89.7933469772621,269.78637707618344,Dist factor of:2.3936
K,38.892755,-77.051435,B,38.892747285,-77.008989,2.2881924692033366,90.00000060968448,270.0266509509012,90.02665095090123,270.0000006096845,"Dist factor of:2.2883, Dist multiple:2.2883"
J,38.889801,-77.03656908080315,WHs,38.897561,-77.036569,0.5352891591902932,0.00046621789982632966,180.00046626863428,0.0004662686342840061,180.00046621789983,Dist factor of:1.0705
J,38.889801,-77.03656908080315,elNc,38.89344928705847,-77.04098558,0.3464388996207673,316.5886479951461,136.58587509923206,316.58587509923206,136.58864799514612,Dist factor of:1.7321
J,38.889801,-77.03656908080315,RCrkA,38.89950909563222,-77.05755337263248,1.3145592559193797,300.63215742270273,120.61898158602246,300.61898158602247,120.63215742270273,"Dist factor of:1.3143, Dist multiple:1.3143"
J,38.889801,-77.03656908080315,POOthr2c,38.9040771959102,-77.08165575743644,2.6223380314952323,292.07155705172977,112.04324615786456,292.0432461578646,112.07155705172977,Dist multiple:0.8740
J,38.889801,-77.03656908080315,H69,38.87633745296441,-77.07234178427055,2.1406629524047815,244.29924554202645,64.27678983277428,244.27678983277428,64.29924554202648,Dist multiple:1.0705
J,38.889801,-77.03656908080315,H56,38.91681538320637,-77.06120140091524,2.2880741851503874,324.53852128629535,144.523051991841,324.523051991841,144.53852128629535,"Dist factor of:2.2883, Dist multiple:2.2883"
Hk,38.8951366,-77.051444,Gs7,38.91601482291505,-77.11677799130699,3.8045370542712957,292.26419654433084,112.22316426016118,292.2231642601612,112.26419654433084,Dist multiple:0.4755
Hk,38.8951366,-77.051444,Chk31,38.84552270708302,-77.10483209910393,4.472263250466143,220.08789735639618,40.054393118222265,220.05439311822227,40.087897356396184,Dist multiple:2.2361
Hk,38.8951366,-77.051444,H70a,38.87147694689254,-77.06775220195667,1.8538347316155053,208.31856195381948,28.308324703390497,208.3083247033905,28.318561953819483,Dist multiple:0.6180
P,38.87100323118176,-77.05596854698287,Chk18,38.87614213026904,-77.11265634246809,3.0772507053490146,276.6326423255223,96.59706483476012,276.5970648347601,96.63264232552228,Dist multiple:1.5388
P,38.87100323118176,-77.05596854698287,H70,38.8737311478417,-77.07038741369139,0.7999653973154293,283.609460270769,103.6004111680528,283.6004111680528,103.60946027076898,Dist factor of:4.0000
PenE,38.87062329503496,-77.05322825200388,Gs2,38.86573364111086,-76.96785270415687,4.616375642792757,94.16318776539259,274.2167635515078,94.21676355150782,274.1631877653926,Dist multiple:1.5388
PenE,38.87062329503496,-77.05322825200388,Gs5,38.90446612895163,-76.97570336712812,4.787319689848087,60.78999641644896,240.83866607011242,60.838666070112424,240.78999641644896,Dist multiple:2.3936
PenE,38.87062329503496,-77.05322825200388,Chk36,38.91158883943301,-76.99354755099984,4.282136509411825,48.68825563203959,228.72572570178113,48.72572570178113,228.68825563203958,Dist multiple:1.0705
PenF,38.86885510940446,-77.0555808299749,WH SEcnr,38.89753757777559,-77.03626431326734,2.235893015799286,27.755408964114352,207.76753461408873,27.76753461408873,207.75540896411434,"Dist factor of:2.2361, Dist multiple:2.2361"
PenF,38.86885510940446,-77.0555808299749,Lcnr,38.88906071490013,-77.04994269848781,1.426558277284103,12.302369966202995,192.30590889285972,12.305908892859748,192.302369966203,Dist multiple:0.4755
PenB,38.87273680802001,-77.05628256361138,PenD,38.87004437347602,-77.05846414671291,0.2198478657793131,212.3514081198567,32.35003901419282,212.35003901419282,32.35140811985673,Dist factor of:1.5388
PenB,38.87273680802001,-77.05628256361138,M,38.889484,-77.035278,1.6177517916611246,44.42434089298661,224.43752559323252,44.43752559323252,224.4243408929866,"Dist factor of:1.6180, Dist multiple:1.6180"
PenB,38.87273680802001,-77.05628256361138,AN,38.91858289999999,-76.94192180000002,6.92859385073142,62.806456461245574,242.8782640743221,62.87826407432209,242.80645646124557,Dist multiple:1.7321
PenB,38.87273680802001,-77.05628256361138,H13,38.94626278806017,-77.01391219662139,5.562253811395613,24.226032338900307,204.25264483722788,24.252644837227876,204.2260323389003,Dist multiple:0.6180
PenA,38.872552231854,-77.05790028667388,CFf,38.88868578496108,-77.00467871165168,3.0778233148546996,68.78564389484956,248.81905106712634,68.81905106712634,248.78564389484956,Dist multiple:1.5388
