LOC0,LAT0,LON0,LOC1,LAT1,LON1,STEP_DIST
SW1,38.801244,-77.054393,NE9,38.903169,-76.92232,1609
SW3,38.820653,-77.07932,NE7,38.923788,-76.948649,1609
SW7,38.862372,-77.132726,NE3,38.965273,-77.00169,1609
SW9,38.882943,-77.15909,NE1,38.98562,-77.027743,1609
SE1,38.88264,-76.922293,NW9,38.985699,-77.054129,1609
SE3,38.862161,-76.948571,NW7,38.965182,-77.080403,1609
SE7,38.821197,-77.001096,NW3,38.924633,-77.132236,1609
SE9,38.803728,-77.023569,NW1,38.903562,-77.159144,1609
SW2,38.807592,-77.062638,NE8,38.913483,-76.935483,1609
SW4,38.831543,-77.093187,NE6,38.933715,-76.96133,1609
SW6,38.851832,-77.119264,NE4,38.954733,-76.988207,1609
SW8,38.872671,-77.145945,NE2,38.975351,-77.014594,1609
SE2,38.87241,-76.935424,NW8,38.975442,-77.067267,1609
SE4,38.851756,-76.96189,NW6,38.954909,-77.093548,1609
SE6,38.831437,-76.987973,NW4,38.937606,-77.115672,1609
SE8,38.81092,-77.01425,NW2,38.913881,-77.145987,1609
SW5,38.842081,-77.10674,NE5,38.944414,-76.975009,1609
SE5,38.841683,-76.974839,NW5,38.944639,-77.106682,1609
S,38.790339,-77.040586,W,38.893245,-77.172301,1609
N,38.995957,-77.040986,W,38.893245,-77.172301,1609
N,38.995957,-77.040986,E,38.89286,-76.909166,1609
S,38.790339,-77.040586,E,38.89286,-76.909166,1609
