StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
A ST NE,38.89094404870098,-76.99808175173247,A ST NE,38.89093810165958,-76.98411197575622,2.17
A ST NE,38.89093810165958,-76.98411197575622,C ST NE,38.893092795644826,-76.99951369192536,784.78
C ST NE,38.893092795644826,-76.99951369192536,C ST NE,38.8935994501782,-77.00408079945713,184.53
C ST NE,38.8935994501782,-77.00408079945713,C ST NE,38.89408358683644,-76.99951734432508,176.33
C ST NE,38.89408358683644,-76.99951734432508,D ST NE,38.89479097578871,-76.99173577369571,257.64
D ST NE,38.89479097578871,-76.99173577369571,E ST NE,38.8961113974353,-76.97672645851942,480.92
E ST NE,38.8961113974353,-76.97672645851942,E ST NE,38.89612326568379,-76.98814761334516,4.32
E ST NE,38.89612326568379,-76.98814761334516,E ST NE,38.896127475784425,-76.99863249325172,1.53
E ST NE,38.896127475784425,-76.99863249325172,F ST NE,38.897341650997916,-76.99758769835636,442.22
F ST NE,38.897341650997916,-76.99758769835636,F ST NE,38.897341577017905,-76.98687224694251,0.03
F ST NE,38.897341577017905,-76.98687224694251,F ST NE,38.89667347048186,-76.98220525529977,243.34
F ST NE,38.89667347048186,-76.98220525529977,G ST NE,38.89892179747485,-76.9848971301367,818.88
G ST NE,38.89892179747485,-76.9848971301367,G ST NE,38.89893070906734,-76.97327228490043,3.25
G ST NE,38.89893070906734,-76.97327228490043,G ST NE,38.89891749314983,-76.99499715020218,4.81
G ST NE,38.89891749314983,-76.99499715020218,G ST NE,38.898921614711064,-77.00811826359511,1.5
G ST NE,38.898921614711064,-77.00811826359511,H ST NE,38.90021057475372,-76.99625178744024,469.46
H ST NE,38.90021057475372,-76.99625178744024,H ST NE,38.90020073743095,-76.9757269657608,3.58
H ST NE,38.90020073743095,-76.9757269657608,I ST NE,38.90133042399485,-76.99519497904451,411.45
I ST NE,38.90133042399485,-76.99519497904451,K ST NE,38.90252025348222,-76.99937461968265,433.36
K ST NE,38.90252025348222,-76.99937461968265,J ST NE,38.9019271969278,-76.92078216831256,216.0
J ST NE,38.9019271969278,-76.92078216831256,K ST NE,38.90252954485499,-76.97963060323954,219.39
K ST NE,38.90252954485499,-76.97963060323954,L ST NE,38.90372264732463,-76.97862782661362,434.55
L ST NE,38.90372264732463,-76.97862782661362,L ST NE,38.903736931414734,-77.00084879432104,5.2
L ST NE,38.903736931414734,-77.00084879432104,M ST NE,38.90563141810335,-76.97395907438631,690.01
M ST NE,38.90563141810335,-76.97395907438631,M ST NE,38.90565150881221,-77.00308065648365,7.32
M ST NE,38.90565150881221,-77.00308065648365,N ST NE,38.90724817497316,-77.00141339737434,581.53
N ST NE,38.90724817497316,-77.00141339737434,N ST NE,38.90724745147997,-77.00629912300987,0.26
N ST NE,38.90724745147997,-77.00629912300987,P ST NE,38.90964964240852,-77.00781350294942,874.92
P ST NE,38.90964964240852,-77.00781350294942,Q ST NE,38.91111838131266,-77.00571499763727,534.94
Q ST NE,38.91111838131266,-77.00571499763727,R ST NE,38.91260335688913,-76.97375829741848,540.86
R ST NE,38.91260335688913,-76.97375829741848,R ST NE,38.9126050829875,-77.00512135098306,0.63
R ST NE,38.9126050829875,-77.00512135098306,S ST NE,38.91408683082809,-77.00204693845683,539.68
S ST NE,38.91408683082809,-77.00204693845683,S ST NE,38.91408743330472,-76.97362160926954,0.22
S ST NE,38.91408743330472,-76.97362160926954,S ST NE,38.91408871551031,-77.00858025559614,0.47
S ST NE,38.91408871551031,-77.00858025559614,T ST NE,38.91557991322701,-77.00433671086948,543.12
T ST NE,38.91557991322701,-77.00433671086948,T ST NE,38.91562361868668,-76.99328153494321,15.92
T ST NE,38.91562361868668,-76.99328153494321,U ST NE,38.91700306132279,-77.00130332217311,502.42
U ST NE,38.91700306132279,-77.00130332217311,U ST NE,38.91700243050235,-77.00592208543004,0.23
U ST NE,38.91700243050235,-77.00592208543004,V ST NE,38.91882952823845,-76.96327299748242,665.46
V ST NE,38.91882952823845,-76.96327299748242,V ST NE,38.91811281129196,-77.003660125245,261.04
V ST NE,38.91811281129196,-77.003660125245,W ST NE,38.91924450432543,-76.98289120472673,412.18
W ST NE,38.91924450432543,-76.98289120472673,W ST NE,38.919175618033954,-76.98948843182222,25.09
W ST NE,38.919175618033954,-76.98948843182222,ACKER ST NE,38.89672909856303,-76.99730902160327,8175.43
ACKER ST NE,38.89672909856303,-76.99730902160327,ADAMS ST NE,38.92022514540195,-76.97796439706359,8557.69
ADAMS ST NE,38.92022514540195,-76.97796439706359,ADAMS ST NE,38.91999020373999,-76.98473179322387,85.57
ADAMS ST NE,38.91999020373999,-76.98473179322387,ADAMS ST NE,38.92023540981041,-77.00203549618256,89.31
ADAMS ST NE,38.92023540981041,-77.00203549618256,ADAMS ST NE,38.92125035212289,-76.96419255247154,369.66
ADAMS ST NE,38.92125035212289,-76.96419255247154,ALLISON ST NE,38.94526067720786,-76.98860834278942,8745.04
ALLISON ST NE,38.94526067720786,-76.98860834278942,ALLISON ST NE,38.94525992998787,-76.9794570477331,0.27
ALLISON ST NE,38.94525992998787,-76.9794570477331,AMES ST NE,38.89078661713187,-76.927922908172,19840.21
