P1,P1_lat,P1_lon,P2,P2_lat,P2_lon,Dist,Az12,Az21,BackAz12,BackAz21,Reason
PenE,38.87062329503496,-77.05322825200388,Gs2,38.86573364111086,-76.96785270415687,4.616375642792757,94.16318776539259,274.2167635515078,94.21676355150782,274.1631877653926,Dist multiple:1.5388
PenF,38.86885510940446,-77.0555808299749,Lcnr,38.88906071490013,-77.04994269848781,1.426558277284103,12.302369966202995,192.30590889285972,12.305908892859748,192.302369966203,Dist multiple:0.4755
WHs,38.897561,-77.036569,WHb,38.89609664728791,-77.03656881060775,0.10101192780429734,179.99420907975292,359.9942091986761,179.99420919867612,359.9942090797529,Dist factor of:1.4142
WHc,38.89666242649749,-77.03611695727467,H51,38.91448986470866,-77.04953191350309,1.426562656770981,329.5502384849541,149.54181337188467,329.5418133718847,149.5502384849541,Dist multiple:0.4755
WHz,38.89597663639302,-77.03431133703796,CFd,38.88868978460074,-77.00578323852076,1.6179702168863581,108.0905148229023,288.1084264441387,108.10842644413867,288.0905148229023,"Dist factor of:1.6180, Dist multiple:1.6180"
WHz,38.89597663639302,-77.03431133703796,Pk04,38.77550687860945,-78.20406185227269,63.653957577381064,262.86574768823465,82.13219308437789,262.1321930843779,82.86574768823465,Dist multiple:0.6180
Cap,38.889801,-77.009227,Chk23a,38.90863930872903,-76.97546834269932,2.236063185390725,54.45824125444345,234.47944008717144,54.47944008717144,234.45824125444346,"Dist factor of:2.2361, Dist multiple:2.2361"
Cap,38.889801,-77.009227,Chk59,39.01004268273348,-77.04244035387981,8.485166214777482,347.838665800662,167.8177865160118,347.8177865160118,167.83866580066206,Dist multiple:1.4142
CFa,38.89064396166972,-77.01235207597406,CFe,38.88981116007428,-77.01012017665087,0.1333326600874532,115.52115341185635,295.52255466590134,115.52255466590134,295.52115341185635,Dist factor of:4.0000
Chk35,38.89407905799511,-77.05068501975197,Chk47,38.94812410619182,-77.00484480332231,4.4721766952943645,33.513668214114716,213.5424673175391,33.54246731753909,213.51366821411472,Dist multiple:2.2361
Chk40,38.89172055971182,-76.89912135737723,OtrB,38.95704643888089,-76.99134485249716,6.7082930848216735,312.23058422318763,132.17264071909932,312.1726407190993,132.23058422318763,Dist multiple:2.2361
Chk41,38.91261730408393,-76.9575387987198,H17,38.88120136333437,-77.07263105649967,6.57166148499748,250.78175467640793,70.70948580450244,250.70948580450244,70.7817546764079,Dist multiple:1.3143
Chk42,38.93017051598103,-77.07230698965536,Chk62,38.90537641569407,-77.02133073015519,3.2359906141725077,121.89017039238729,301.92219390711494,121.92219390711494,301.8901703923873,Dist multiple:1.6180
RC,38.98682226543504,-77.05231894611552,H70a,38.87147694689254,-77.06775220195667,7.999968688854477,185.9712317032617,5.961534074440124,185.96153407444012,5.971231703261708,Dist multiple:4.0000
H22,38.92823446130691,-77.06004232078331,SF02,38.90117456916591,-77.0901139945135,2.4719699311026955,220.97432004177608,40.955430135205546,220.95543013520555,40.97432004177608,Dist multiple:0.6180
H12,38.92005589287478,-76.94844865915428,H60,38.93132296535497,-76.91720945574568,1.854042730957055,65.20614573889611,245.22577370352207,65.22577370352207,245.2061457388961,Dist multiple:0.6180
