reason_set,color,group
"['Dist factor of:0.4755', 'Dist factor of:1.7321', 'Dist factor of:2.2883', 'Dist factor of:3.0000', 'Dist factor of:6.2666']",EEEEE0E0,Zero
['Dist multiple:0.4755'],FFFF00CC,18 - 72 - 90
"['Dist factor of:0.4755', 'Dist multiple:0.4755']",FFFF00CC,18 - 72 - 90
"['Dist factor of:1.5388', 'Dist factor of:2.2361']",FFFF00CC,18 - 72 - 90
['Dist multiple:1.5388'],FFFF20B0,18 - 72 - 90
"['Dist factor of:1.5388', 'Dist multiple:1.5388']",FFFF20B1,18 - 72 - 90
['Dist factor of:1.5388'],FFFF20B2,18 - 72 - 90
['Dist factor of:1.3143'],FFFF10C0,36 - 54 - 90
['Dist multiple:1.3143'],FFFF10C1,36 - 54 - 90
"['Dist factor of:1.3143', 'Dist multiple:1.3143']",FFFF10C2,36 - 54 - 90
"['Dist factor of:4.0000', 'Dist factor of:6.2666']",FFCCFF00,3 - 4 - 5
"['Dist factor of:4.0000', 'Dist multiple:4.0000']",FFCCFF01,3 - 4 - 5
['Dist multiple:4.0000'],FFCCFF02,3 - 4 - 5
['Dist factor of:4.0000'],FFCCFF03,3 - 4 - 5
"['Dist factor of:5.0000', 'Dist multiple:5.0000']",FFCCFF22,3 - 4 - 5
['Dist factor of:3.0000'],FFCCFF44,3 - 4 - 5
"['Dist factor of:3.0000', 'Dist multiple:3.0000']",FFCCFF45,3 - 4 - 5
"['Dist factor of:1.4142', 'Dist factor of:3.0000']",FFFF9944,r2
"['Dist factor of:1.4142', 'Dist multiple:1.4142']",FFFF0099,r2
['Dist factor of:1.4142'],FFFF0099,r2
['Dist multiple:1.4142'],FFFF0099,r2
"['Dist factor of:1.4142', 'Dist factor of:2.3936']",FFFF4499,r2
"['Dist factor of:2.2883', 'Dist multiple:2.2883']",FFFF0066,r2 FIp
['Dist factor of:2.2883'],FFFF0067,r2 FIp
['Dist multiple:2.2883'],FFFF0068,r2 FIp
"['Dist factor of:0.8740', 'Dist multiple:0.8740']",FFFF0030,r2 FIm
['Dist factor of:0.8740'],FFFF0031,r2 FIm
['Dist multiple:0.8740'],FFFF0032,r2 FIm
"['Dist factor of:1.7321', 'Dist multiple:1.7321']",FF00FF00,r3
['Dist multiple:1.7321'],FF00FF01,r3
['Dist factor of:1.7321'],FF00FF02,r3
"['Dist factor of:2.8025', 'Dist multiple:2.8025']",FF00FF40,r3 FIp
['Dist factor of:2.8025'],FF00FF41,r3 FIp
['Dist multiple:2.8025'],FF00FF42,r3 FIp
['Dist multiple:1.0705'],FF00FF70,r3 FIm
"['Dist factor of:1.0705', 'Dist multiple:1.0705']",FF00FF71,r3 FIm
['Dist factor of:1.0705'],FF00FF72,r3 FIm
"['Dist factor of:2.2361', 'Dist multiple:2.2361']",FFFFF004,r5
['Dist multiple:2.2361'],FFFFF005,r5
['Dist factor of:2.2361'],FFFFF006,r5
"['Dist factor of:1.3143', 'Dist factor of:6.2666']",FFFDD007,r5 FIp
"['Dist factor of:6.2666', 'Dist multiple:6.2666']",FFFDD008,r5 FIp
['Dist factor of:6.2666'],FFFDD009,r5 FIp
"['Dist factor of:2.3936', 'Dist multiple:2.3936']",FFFBB004,r5 FIm
['Dist factor of:2.3936'],FFFBB005,r5 FIm
['Dist multiple:2.3936'],FFFBB006,r5 FIm
"['Dist factor of:1.6180', 'Dist multiple:1.6180']",FFE0A091,FIp
['Dist multiple:1.6180'],FFE0A092,FIp
['Dist factor of:1.6180'],FFE0A093,FIp
['Dist multiple:0.6180'],FFE0B090,FIm
['Dist factor of:0.6180'],FFE0B091,FIm
