LOC0,LAT0,LON0,LOC1,LAT1,LON1,STEP_DIST
NE9,38.903169,-76.92232,SE1,38.88264,-76.922293,2276
NE8,38.913483,-76.935483,SE2,38.87241,-76.935424,2276
NE7,38.923788,-76.948649,SE3,38.862161,-76.948571,2276
NE6,38.933715,-76.96133,SE4,38.851756,-76.96189,2276
NE5,38.944414,-76.975009,SE5,38.841683,-76.974839,2276
NE4,38.954733,-76.988207,SE6,38.831437,-76.987973,2276
NE3,38.965273,-77.00169,SE7,38.821197,-77.001096,2276
NE2,38.975351,-77.014594,SE8,38.81092,-77.01425,2276
NE1,38.98562,-77.027743,SE9,38.803728,-77.023569,2276
NE1,38.98562,-77.027743,NW9,38.985699,-77.054129,2276
NE3,38.965273,-77.00169,NW7,38.965182,-77.080403,2276
NE5,38.944414,-76.975009,NW5,38.944639,-77.106682,2276
NE7,38.923788,-76.948649,NW3,38.924633,-77.132236,2276
NE9,38.903169,-76.92232,NW1,38.903562,-77.159144,2276
NE2,38.975351,-77.014594,NW8,38.975442,-77.067267,2276
NE4,38.954733,-76.988207,NW6,38.954909,-77.093548,2276
NE6,38.933715,-76.96133,NW4,38.937606,-77.115672,2276
NE8,38.913483,-76.935483,NW2,38.913881,-77.145987,2276
SW9,38.882943,-77.15909,NW1,38.903562,-77.159144,2276
SW8,38.872671,-77.145945,NW2,38.913881,-77.145987,2276
SW7,38.862372,-77.132726,NW3,38.924633,-77.132236,2276
SW6,38.851832,-77.119264,NW4,38.937606,-77.115672,2276
SW5,38.842081,-77.10674,NW5,38.944639,-77.106682,2276
SW4,38.831543,-77.093187,NW6,38.954909,-77.093548,2276
SW3,38.820653,-77.07932,NW7,38.965182,-77.080403,2276
SW2,38.807592,-77.062638,NW8,38.975442,-77.067267,2276
SW1,38.801244,-77.054393,NW9,38.985699,-77.054129,2276
SW1,38.801244,-77.054393,SE9,38.803728,-77.023569,2276
SW3,38.820653,-77.07932,SE7,38.821197,-77.001096,2276
SW5,38.842081,-77.10674,SE5,38.841683,-76.974839,2276
SW7,38.862372,-77.132726,SE3,38.862161,-76.948571,2276
SW9,38.882943,-77.15909,SE1,38.88264,-76.922293,2276
SW2,38.807592,-77.062638,SE8,38.81092,-77.01425,2276
SW4,38.831543,-77.093187,SE6,38.831437,-76.987973,2276
SW6,38.851832,-77.119264,SE4,38.851756,-76.96189,2276
SW8,38.872671,-77.145945,SE2,38.87241,-76.935424,2276
S,38.790339,-77.040586,N,38.995957,-77.040986,2276
E,38.89286,-76.909166,W,38.893245,-77.172301,2276
