LOC,LAT,LON
I082,38.87069432,-77.00907854
I050,38.87838133,-76.98072166
I062,38.88980114,-76.99025502
I009,38.90964122,-77.04345942
I008,38.90252157,-77.05013189
LP1,38.88923864,-76.99157892
Hi WH,38.897786,-77.036556
Hk,38.8951366,-77.051444
NOa,38.92154464,-77.06705128
M,38.889484,-77.03527800
CFb,38.88898718,-77.01233379
CFa,38.89064396,-77.01235207
CapK,38.889801,-77.00904745
P,38.87100323,-77.05596854
B,38.89274728,-77.008989
K,38.892755,-77.051435
J,38.889801,-77.03656908
