LOC,LAT,LON,ALT_M
I082,38.8706943,-77.0090785,7.083
I050,38.8783813,-76.9807217,14.150
I062,38.8898011,-76.9902550,27.951
I009,38.9096412,-77.0434594,27.629
I008,38.9025216,-77.0501319,21.799
LP1,38.8892386,-76.9915789,26.343
Hi WH,38.8977860,-77.0365560,19.447
Hk,38.8951366,-77.0514440,29.496
NOa,38.9215446,-77.0670513,85.285
M,38.8894840,-77.0352780,12.247
CFb,38.8889872,-77.0123338,4.308
CFa,38.8906440,-77.0123521,4.292
CapK,38.8898010,-77.0090474,26.707
P,38.8710032,-77.0559685,10.779
B,38.8927473,-77.0089890,18.307
K,38.8927550,-77.0514350,8.765
J,38.8898010,-77.0365691,6.824
