StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
1ST ST NE,38.91200346597475,-77.00654919365425,1ST ST NE,38.91664407380482,-77.00654778303416,0.4
1ST ST NE,38.91664407380482,-77.00654778303416,1ST ST NE,38.95722557617829,-77.00627464616745,77.72
1ST ST NE,38.95722557617829,-77.00627464616745,1ST ST NE,38.89289884395104,-77.00590437828122,105.3
1ST ST NE,38.89289884395104,-77.00590437828122,1ST ST NE,38.96237890465322,-77.00587995334925,6.95
1ST ST NE,38.96237890465322,-77.00587995334925,2ND ST NE,38.91567090744609,-77.00351014345141,673.87
2ND ST NE,38.91567090744609,-77.00351014345141,2ND ST NE,38.90783944462851,-77.00350686312417,0.93
2ND ST NE,38.90783944462851,-77.00350686312417,2ND ST NE,38.89698036399472,-77.003529911938,6.56
2ND ST NE,38.89698036399472,-77.003529911938,2ND ST NE,38.92185199649985,-77.00350827890783,6.16
2ND ST NE,38.92185199649985,-77.00350827890783,3RD ST NE,38.960784244857365,-77.00281817567057,196.35
3RD ST NE,38.960784244857365,-77.00281817567057,3RD ST NE,38.898810247376765,-77.00204078588978,221.06
3RD ST NE,38.898810247376765,-77.00204078588978,3RD ST NE,38.918557248695286,-77.00203478974971,1.71
3RD ST NE,38.918557248695286,-77.00203478974971,4TH ST NE,38.92275279825577,-77.00057112879321,416.46
4TH ST NE,38.92275279825577,-77.00057112879321,4TH ST NE,38.90076896946545,-77.00027383205034,84.59
4TH ST NE,38.90076896946545,-77.00027383205034,5TH ST NE,38.91788617924148,-76.99952831209123,212.18
5TH ST NE,38.91788617924148,-76.99952831209123,5TH ST NE,38.89145461576557,-76.9995143623617,3.97
5TH ST NE,38.89145461576557,-76.9995143623617,5TH ST NE,38.92595698425716,-76.9995089911097,1.53
5TH ST NE,38.92595698425716,-76.9995089911097,6TH ST NE,38.94737778488764,-76.99911908499476,110.93
6TH ST NE,38.94737778488764,-76.99911908499476,6TH ST NE,38.96199855862836,-76.99910248027564,4.72
6TH ST NE,38.96199855862836,-76.99910248027564,6TH ST NE,38.94952579708786,-76.99878637216855,89.89
6TH ST NE,38.94952579708786,-76.99878637216855,6TH ST NE,38.92559146684329,-76.9984468455763,96.56
6TH ST NE,38.92559146684329,-76.9984468455763,6TH ST NE,38.900058073836526,-76.99817595164467,77.07
6TH ST NE,38.900058073836526,-76.99817595164467,7TH ST NE,38.90012700170178,-76.99616877546607,571.26
7TH ST NE,38.90012700170178,-76.99616877546607,7TH ST NE,38.890917447319005,-76.99617225184818,0.99
7TH ST NE,38.890917447319005,-76.99617225184818,7TH ST NE,38.92912094550251,-76.9961842884609,3.43
7TH ST NE,38.92912094550251,-76.9961842884609,7TH ST NE,38.9459542632493,-76.99691870076875,208.93
7TH ST NE,38.9459542632493,-76.99691870076875,7TH ST NE,38.89350984641028,-76.99616933567395,213.14
7TH ST NE,38.89350984641028,-76.99616933567395,8TH ST NE,38.92898122847209,-76.99496587323866,342.54
8TH ST NE,38.92898122847209,-76.99496587323866,8TH ST NE,38.897298131477285,-76.99496410934128,0.5
8TH ST NE,38.897298131477285,-76.99496410934128,8TH ST NE,38.95682751981423,-76.99418897714264,220.62
8TH ST NE,38.95682751981423,-76.99418897714264,9TH ST NE,38.90224569065323,-76.9937576837725,122.65
9TH ST NE,38.90224569065323,-76.9937576837725,9TH ST NE,38.930554961096774,-76.99373379004004,6.8
9TH ST NE,38.930554961096774,-76.99373379004004,9TH ST NE,38.89436322748355,-76.99376025435168,7.53
9TH ST NE,38.89436322748355,-76.99376025435168,10TH ST NE,38.95132119871088,-76.99282386887678,266.52
10TH ST NE,38.95132119871088,-76.99282386887678,10TH ST NE,38.94727685626537,-76.99264372101226,51.23
10TH ST NE,38.94727685626537,-76.99264372101226,10TH ST NE,38.93232032999497,-76.99269716110197,15.2
10TH ST NE,38.93232032999497,-76.99269716110197,10TH ST NE,38.89680379953665,-76.9926471605558,14.22
10TH ST NE,38.89680379953665,-76.9926471605558,11TH ST NE,38.95456609119176,-76.99157025357925,306.51
11TH ST NE,38.95456609119176,-76.99157025357925,11TH ST NE,38.896569195145986,-76.99153141275119,11.05
11TH ST NE,38.896569195145986,-76.99153141275119,11TH ST NE,38.95057386414446,-76.99169214054822,45.75
11TH ST NE,38.95057386414446,-76.99169214054822,12TH ST NE,38.93461970624168,-76.99053305097284,329.65
12TH ST NE,38.93461970624168,-76.99053305097284,12TH ST NE,38.95014597464156,-76.99055821257596,7.16
12TH ST NE,38.95014597464156,-76.99055821257596,12TH ST NE,38.896569653122846,-76.99024611170498,88.76
12TH ST NE,38.896569653122846,-76.99024611170498,13TH ST NE,38.95061350149929,-76.9867994249899,981.0
13TH ST NE,38.95061350149929,-76.9867994249899,13TH ST NE,38.93403081044942,-76.98841807250696,460.35
13TH ST NE,38.93403081044942,-76.98841807250696,13TH ST NE,38.89586280393829,-76.9883096988085,30.83
13TH ST NE,38.89586280393829,-76.9883096988085,14TH ST NE,38.95074533935196,-76.98566184069007,753.64
14TH ST NE,38.95074533935196,-76.98566184069007,14TH ST NE,38.89535055105127,-76.98551022333028,43.12
14TH ST NE,38.89535055105127,-76.98551022333028,14TH ST NE,38.93442581852255,-76.98603354868673,148.95
14TH ST NE,38.93442581852255,-76.98603354868673,15TH ST NE,38.93043869928703,-76.98424411497044,509.04
15TH ST NE,38.93043869928703,-76.98424411497044,15TH ST NE,38.89501248744005,-76.98364477435543,170.5
15TH ST NE,38.89501248744005,-76.98364477435543,16TH ST NE,38.94339890784373,-76.98365188462277,2.02
16TH ST NE,38.94339890784373,-76.98365188462277,16TH ST NE,38.93077948944545,-76.98254398965366,315.12
