reason_set,color
"['Dist factor of:1.6180', 'Dist factor of:5.6050']",color000
"['Dist factor of:1.6180', 'Dist multiple:1.6180']",color001
"['Dist factor of:1.7321', 'Dist multiple:0.8660']",color002
"['Dist factor of:2.2360', 'Dist multiple:2.2360']",color003
['Dist factor of:2.2360'],color004
"['Dist factor of:2.2882', 'Dist multiple:2.2882']",color005
['Dist factor of:2.2882'],color006
['Dist factor of:5.6050'],color007
"['Dist factor of:5.9907', 'Dist multiple:5.9907']",color008
['Dist factor of:5.9907'],color009
['Dist factor of:6.1800'],color010
['Dist multiple:0.1494'],color011
['Dist multiple:0.1742'],color012
['Dist multiple:0.3338'],color013
['Dist multiple:0.5401'],color014
['Dist multiple:0.6180'],color015
['Dist multiple:0.7071'],color016
['Dist multiple:0.8660'],color017
['Dist multiple:0.8740'],color018
['Dist multiple:1.6180'],color019
['Dist multiple:3.4641'],color020
