Label, Step, Latitude, Longitude, Azimuth_To_Target
SW5 NE5 0, 0, 38.842081000, -77.106740000, 45.1301
SW5 NE5 1, 1, 38.871549929, -77.068863869, 45.1538
SW5 NE5 2, 2, 38.901006415, -77.030956454, 45.1776
SW5 NE5 3, 3, 38.944414000, -76.975009000, 45.2014
NE5 SW5 0, 0, 38.944414000, -76.975009000, -134.7872
NE5 SW5 1, 1, 38.914975902, -77.012962624, -134.8111
NE5 SW5 2, 2, 38.885525326, -77.050884897, -134.8349
NE5 SW5 3, 3, 38.842081000, -77.106740000, -134.8587
SE5 NW5 0, 0, 38.841683000, -76.974839000, -44.9805
SE5 NW5 1, 1, 38.871229137, -77.012616430, -45.0042
SE5 NW5 2, 2, 38.900762894, -77.050425145, -45.0280
SE5 NW5 3, 3, 38.944639000, -77.106682000, -45.0517
NW5 SE5 0, 0, 38.944639000, -77.106682000, 134.9367
NW5 SE5 1, 1, 38.915123687, -77.068826699, 134.9605
NW5 SE5 2, 2, 38.885595960, -77.031002750, 134.9842
NW5 SE5 3, 3, 38.841683000, -76.974839000, 135.0079
S W 0, 0, 38.790339000, -77.040586000, -44.9876
S W 1, 1, 38.804838033, -77.059109534, -44.9992
S W 2, 2, 38.819334092, -77.077640577, -45.0108
S W 3, 3, 38.833827174, -77.096179135, -45.0224
S W 4, 4, 38.848317277, -77.114725212, -45.0340
S W 5, 5, 38.862804399, -77.133278814, -45.0457
S W 6, 6, 38.877288535, -77.151839948, -45.0573
S W 7, 7, 38.893245000, -77.172301000, -45.0690
W S 0, 0, 38.893245000, -77.172301000, 134.9298
W S 1, 1, 38.878764155, -77.153731563, 134.9415
W S 2, 2, 38.864280323, -77.135169662, 134.9531
W S 3, 3, 38.849793505, -77.116615292, 134.9648
W S 4, 4, 38.835303706, -77.098068449, 134.9764
W S 5, 5, 38.820810927, -77.079529125, 134.9880
W S 6, 6, 38.806315171, -77.060997317, 134.9996
W S 7, 7, 38.790339000, -77.040586000, 135.0112
N W 0, 0, 38.995957000, -77.040986000, -135.0047
N W 1, 1, 38.981457444, -77.059557962, -135.0164
N W 2, 2, 38.966954897, -77.078122348, -135.0281
N W 3, 3, 38.952449362, -77.096679165, -135.0398
N W 4, 4, 38.937940842, -77.115228417, -135.0514
N W 5, 5, 38.923429339, -77.133770111, -135.0631
N W 6, 6, 38.908914857, -77.152304251, -135.0747
N W 7, 7, 38.893245000, -77.172301000, -135.0864
W N 0, 0, 38.893245000, -77.172301000, 44.9127
W N 1, 1, 38.907762696, -77.153775006, 44.9244
W N 2, 2, 38.922277415, -77.135241465, 44.9360
W N 3, 3, 38.936789154, -77.116700371, 44.9477
W N 4, 4, 38.951297911, -77.098151719, 44.9593
W N 5, 5, 38.965803683, -77.079595503, 44.9710
W N 6, 6, 38.980306467, -77.061031718, 44.9827
W N 7, 7, 38.995957000, -77.040986000, 44.9943
N E 0, 0, 38.995957000, -77.040986000, 135.0017
N E 1, 1, 38.981458207, -77.022413060, 135.0134
N E 2, 2, 38.966956423, -77.003847696, 135.0251
N E 3, 3, 38.952451650, -76.985289901, 135.0367
N E 4, 4, 38.937943892, -76.966739671, 135.0484
N E 5, 5, 38.923433151, -76.948196999, 135.0601
N E 6, 6, 38.908919429, -76.929661881, 135.0717
N E 7, 7, 38.892860000, -76.909166000, 135.0833
E N 0, 0, 38.892860000, -76.909166000, -44.9154
E N 1, 1, 38.907377015, -76.927692769, -44.9271
E N 2, 2, 38.921891053, -76.946227085, -44.9387
E N 3, 3, 38.936402111, -76.964768953, -44.9504
E N 4, 4, 38.950910186, -76.983318380, -44.9620
E N 5, 5, 38.965415276, -77.001875371, -44.9737
E N 6, 6, 38.979917378, -77.020439931, -44.9854
E N 7, 7, 38.995957000, -77.040986000, -44.9970
S E 0, 0, 38.790339000, -77.040586000, 45.0309
S E 1, 1, 38.804827068, -77.022048464, 45.0425
S E 2, 2, 38.819312158, -77.003503418, 45.0541
S E 3, 3, 38.833794268, -76.984950859, 45.0658
S E 4, 4, 38.848273393, -76.966390779, 45.0774
S E 5, 5, 38.862749533, -76.947823175, 45.0890
S E 6, 6, 38.877222683, -76.929248039, 45.1007
S E 7, 7, 38.892860000, -76.909166000, 45.1124
E S 0, 0, 38.892860000, -76.909166000, -134.8867
E S 1, 1, 38.878390083, -76.927749279, -134.8984
E S 2, 2, 38.863917173, -76.946325022, -134.9100
E S 3, 3, 38.849441275, -76.964893234, -134.9217
E S 4, 4, 38.834962390, -76.983453921, -134.9333
E S 5, 5, 38.820480522, -77.002007087, -134.9449
E S 6, 6, 38.805995672, -77.020552738, -134.9566
E S 7, 7, 38.790339000, -77.040586000, -134.9682
S N 0, 0, 38.790339000, -77.040586000, -0.0870
S N 1, 1, 38.804832961, -77.040614120, -0.0870
S N 2, 2, 38.819326886, -77.040642251, -0.0870
S N 3, 3, 38.833820776, -77.040670394, -0.0870
S N 4, 4, 38.848314629, -77.040698548, -0.0871
S N 5, 5, 38.862808446, -77.040726714, -0.0871
S N 6, 6, 38.877302227, -77.040754891, -0.0871
S N 7, 7, 38.891795971, -77.040783080, -0.0871
S N 8, 8, 38.906289680, -77.040811280, -0.0871
S N 9, 9, 38.920783353, -77.040839491, -0.0871
S N 10, 10, 38.935276989, -77.040867714, -0.0872
S N 11, 11, 38.949770590, -77.040895949, -0.0872
S N 12, 12, 38.964264154, -77.040924195, -0.0872
S N 13, 13, 38.978757683, -77.040952452, -0.0872
S N 14, 14, 38.995957000, -77.040986000, -0.0872
N S 0, 0, 38.995957000, -77.040986000, 179.9128
N S 1, 1, 38.981463515, -77.040957729, 179.9128
N S 2, 2, 38.966969993, -77.040929469, 179.9128
N S 3, 3, 38.952476435, -77.040901221, 179.9128
N S 4, 4, 38.937982842, -77.040872985, 179.9128
N S 5, 5, 38.923489212, -77.040844759, 179.9129
N S 6, 6, 38.908995546, -77.040816546, 179.9129
N S 7, 7, 38.894501844, -77.040788344, 179.9129
N S 8, 8, 38.880008106, -77.040760153, 179.9129
N S 9, 9, 38.865514332, -77.040731974, 179.9129
N S 10, 10, 38.851020521, -77.040703806, 179.9129
N S 11, 11, 38.836526675, -77.040675650, 179.9130
N S 12, 12, 38.822032793, -77.040647505, 179.9130
N S 13, 13, 38.807538874, -77.040619371, 179.9130
N S 14, 14, 38.790339000, -77.040586000, 179.9130
E W 0, 0, 38.892860000, -76.909166000, -89.8101
E W 1, 1, 38.892906559, -76.927711987, -89.8218
E W 2, 2, 38.892950172, -76.946257997, -89.8334
E W 3, 3, 38.892990840, -76.964804030, -89.8451
E W 4, 4, 38.893028562, -76.983350082, -89.8567
E W 5, 5, 38.893063339, -77.001896154, -89.8683
