LOC0,LAT0,LON0,LOC1,LAT1,LON1,STEP_DIST
S,38.790339,-77.040586,W,38.893245,-77.172301,1138
N,38.995957,-77.040986,W,38.893245,-77.172301,1138
N,38.995957,-77.040986,E,38.89286,-76.909166,1138
S,38.790339,-77.040586,E,38.89286,-76.909166,1138
S,38.790339,-77.040586,N,38.995957,-77.040986,1138
E,38.89286,-76.909166,W,38.893245,-77.172301,1138
RCPO,38.899574,-77.057407,KAP,38.855142,-77.023561,1609
PO,38.93449308,-77.11991586,KAP,38.855142,-77.023561,1609
PO,38.93449308,-77.11991586,AC,38.91858294,-76.94192177,1609
S,38.790339,-77.040586,AC,38.91858294,-76.94192177,1609
RC,38.98690866,-77.05232207,AC,38.91858294,-76.94192177,1609
