TriGroup,Type,A,B,C
'r2 r3 r5',s,1.4142136,1.7320508,2.236068
'r2 r3 r5',a,39.2315205,50.7684795,90
'30 60 90',s,1,1.7320508,2
'30 60 90',a,30,60,90
'r2 r2 1',s,1.4142136,1.4142136,1
'r2 r2 1',a,45,45,90
'3 4 5',s,3,4,5
'3 4 5',a,36.8698977,53.1301024,90
'1 2 r5',s,1,2,2.236068
'1 2 r5',a,26.5650512,63.4349488,90
'18 72 90',s,0.4755283,1.618034,1.5388418
'18 72 90',a,18,72,90
'36 54 90',s,1.3143278,2,2.236068
'36 54 90',a,36,54,90
'1 phi phi^2',s,1,1.618034,2.618034
'1 phi phi^2',a,38.1727076,51.8272924,90
