p1,p2,p3,match_type,match_reason,group,proportionality_factor,angle1,angle2,angle3,side1,side2,side3
PenF,H66,H20,1-2-r5,side_ratios,1-2-sqrt(5) Right Triangles,1.7549706251830806,63.37560135360622,26.553978386299406,90.0704202600944,3.509076620406827,1.7547698691974,3.925299002369687
Chk61,POOthr2a,H70a,1-2-r5,side_ratios,1-2-sqrt(5) Right Triangles,1.447920671866929,63.382939793122574,26.560650067769167,90.05641013910828,2.895113730537005,1.4479922647818149,3.238305068603588
P,RC,SF06,3-4-5,side_ratios,3-4-5 Right Triangles,1.9967354744506343,53.208807282798425,36.88485334075021,89.90633937645138,7.991730068534685,5.989718172688324,9.979377452184602
PenC,Chk06,SF03,3-4-5,angles,3-4-5 Right Triangles,2.107892174058158,36.861026843188746,90.00325383616583,53.13571932064543,6.322542402856264,10.539746531733115,8.432417154108519
HighWa,Chk47,H33,3-4-5,side_ratios,3-4-5 Right Triangles,2.0481048286473866,89.97600239665351,36.86173392089572,53.1622636824508,10.239573585637306,6.142577448466066,8.195106909665267
Hk,Chk13,H28,36-54-90,side_ratios,36-54-90 Right Triangles,7.160916645741002,54.00012078420166,89.9786250508864,36.02125416491197,5.792584103523699,7.160016252741946,4.210700748444521
PenG,Chk28,Chk39,36-54-90,side_ratios,36-54-90 Right Triangles,9.746742154288015,35.97631369332924,90.04884093583046,53.974845370840306,5.727147967066431,9.749150673042244,7.884714852976899
Nb,Gs1,OtrC,36-54-90,side_ratios,36-54-90 Right Triangles,7.310651753375607,54.04594930187523,89.94142067262334,36.01263002550142,5.916283925027431,7.308669144179235,4.297233477887108
H44,H99,H42,36-54-90,side_ratios,36-54-90 Right Triangles,7.543286470935592,53.99575630212801,36.01484959617866,89.98939410169335,6.101895662277737,4.435106682177136,7.542763616339513
HighWa,Chk10,Chk11,45-45-90,side_ratios,45-45-90 Right Triangles,7.061143709732155,44.96256219646292,90.07614592405845,44.96129187947864,7.059279709862797,9.98984991911173,7.059122990658465
Lz,Chk11,H32,45-45-90,side_ratios,45-45-90 Right Triangles,3.1868506319749073,89.97733257966559,44.99123729125605,45.03143012907838,4.506365218521976,3.1859942821134686,3.188229148310552
Gs6,Chk53,H13,45-45-90,side_ratios,45-45-90 Right Triangles,5.220394166503175,90.06818552980714,44.97206006140158,44.9597544087913,7.385324196820699,5.219669315855199,5.21854705153263
Chk46,H22,H29,Equilateral,side_ratios,Equilateral Triangles (60-60-60),3.6552483110279077,59.99139491322797,60.038481896296624,59.97012319047539,3.654931775354589,3.6566653332542782,3.654147824474855
CFa,Chk26,SF03,Golden T,side_ratios,Golden Triangles (72-72-36),5.165728860772492,35.994689059956,72.08209579362611,71.92321514641789,5.1651697332291056,8.36236939372915,8.35483948060657
CptA,H70b,H47,Kepler,side_ratios,Kepler Right Triangles (1:sqrt(phi):phi),2.0325941054851597,38.149824008575926,51.79439685631286,90.05577913511124,2.0321271775742047,2.585052068609835,3.2897208489723937
SCb,OtrB,H44,Kepler,side_ratios,Kepler Right Triangles (1:sqrt(phi):phi),4.636507409942469,38.17437337175231,89.9655523300272,51.86007429822052,4.635953536045574,7.500851649407798,5.89945733343116
